year,S002
1920,4.7235
1921,-23.1129
1922,27.2960
1923,19.1841
1924,-6.3185
1925,10.1577
1926,5.8001
1927,-0.0683
1928,4.1224
1929,10.9953
1930,-16.9218
1931,-17.1756
1932,-21.9365
1933,18.4420
1934,8.3862
1935,15.8195
1936,18.0131
1937,9.5401
1938,-20.9307
1939,22.7167
1940,15.5082
1941,26.2935
1942,14.7474
1943,21.4656
1944,7.4977
1945,-14.4067
1946,-13.5760
1947,12.5411
1948,4.2214
1949,-5.5864
1950,15.7622
1951,8.4623
1952,3.9010
1953,8.3912
1954,-5.6608
1955,12.7894
1956,4.3259
1957,1.4242
1958,-6.4836
1959,11.9562
1960,2.2583
1961,0.6652
1962,8.3339
1963,6.1280
1964,6.7321
1965,9.9377
1966,8.8476
1967,2.1586
1968,5.5549
1969,4.6422
1970,-3.2975
1971,1.3670
1972,9.6167
1973,8.2129
1974,-0.2477
1975,-8.9172
1976,7.8700
1977,7.6541
1978,5.4939
1979,2.9948
1980,-2.5691
1981,1.2696
1982,-5.1962
1983,2.7370
1984,8.9157
1985,1.2324
1986,0.9971
1987,5.2057
1988,5.1811
1989,0.8972
1990,0.9486
1991,-1.5823
1992,2.8700
1993,3.2966
1994,5.2724
1995,4.7113
1996,4.6038
1997,7.2981
1998,5.8681
1999,4.4939
2000,3.5635
2001,-2.9802
2002,0.3056
2003,1.3697
2004,2.5622
2005,3.3579
2006,2.3326
2007,2.6029
2008,-3.4012
2009,-11.4329
2010,5.5667
2011,3.1640
2012,3.0656
2013,1.9925
2014,2.9786
2015,-1.4404
2016,-2.1522
2017,1.2158
2018,3.1630
2019,-0.7917
2020,-7.0914
2021,4.4160
2022,1.7045
2023,-0.2136
2024,-0.6535
2025,1.1211
2026,0.7321
